ST_ID,LATITUDE,LONGITUDE,NAME,OSM_ID
647.0,53.2836,48.0912,Балашейка,206023596.0
651.0,53.9058393,46.4625496,Дубенки,2626031786.0
654.0,53.9527,46.696,Глотовка,1945943045.0
656.0,53.9712,46.8584,Шарлово,300139381.0
659.0,54.0474,47.1254,Вешкайма,300138720.0
663.0,54.0974,47.3502,Чуфарово,300138635.0
667.0,54.1171,47.6222,Майна,6486473182.0
671.0,54.1709,47.866,Выры,1945943044.0
675.0,54.2128,48.0815,Охотничья,1945943064.0
679.0,54.2536,48.2691,Студенческая,2948440826.0
680.0,53.2594457,48.6403401,Губино,206027169.0
683.0,53.3331103,48.6436234,Шигоны,729313339.0
686.0,53.4137,48.5674,Малячкино,1050432188.0
688.0,53.4976,48.5588,Бичевной,619285153.0
694.0,53.7954,48.4077,Молвино,939024828.0
697.0,53.9734,48.348,Кучуры,9866801459.0
698.0,54.0249,48.3366,Красный Гуляй,872064668.0
700.0,54.1181,48.2803,Ключищи,206024298.0
701.0,54.1877,48.3084,Белый Ключ,5841268980.0
703.0,54.3017,48.3116,Ульяновск 3,1221316079.0
705.0,54.404,48.2124,Лаишевка,928005750.0
707.0,54.593,48.144,Цильна,206023882.0
708.0,54.2964,48.3682,Ульяновск 1,2014088633.0
709.0,54.3055,48.4028,Ульяновск 2,6421754302.0
711.0,54.335078,48.544507,Верхняя Терраса,3991184635.0
712.0,54.3046,48.4,Ульяновск 2,6421754302.0
713.0,54.3353,48.5368,Верхняя Терраса,3991184635.0
715.0,54.3415,48.8525,Чердаклы,1386568481.0
719.0,54.339,49.3527,Бряндино,6421754303.0
722.0,54.2259,49.6011,Димитровград,3991184641.0
725.0,54.2122,49.936,Малыкла,2626031789.0
726.0,54.1953,50.0888,Якушка,2507712547.0
733.0,54.2309,50.4418,Погрузная,6486473180.0
736.0,54.424,50.8038,Нурлат,4255826111.0
738.0,54.4064,51.0963,Челна,6486473179.0
740.0,54.3751764,51.3595012,Кондурчи,1069880871.0
741.0,54.4355,51.4665,Шентала,6486473178.0
746.0,54.2631,51.8645,Пронино,1070028845.0
748.0,54.2591,52.0225,Клявлино,6486473176.0
750.0,54.2842,52.2472,Маклауш,206048500.0
752.0,54.2984,52.4987,Дымка,7684553247.0
754.0,54.4148,52.5947,Акбаш,2466681990.0
761.0,54.5712,52.447,Письмянка,5302877739.0
767.0,54.8335,52.2671,Миннибаево,1028676346.0
768.0,54.8616,52.158,Кульшарипово,1028675051.0
769.0,54.9194,52.1388,Альметьевская,206047967.0
771.0,54.9941,52.1114,Акташ,1098507474.0
776.0,55.3127,52.0089,Заинск,206047187.0
782.0,55.5637285,52.0718843,Никашновка,2792876307.0
783.0,55.5914,51.9704,Биклянь,1098508840.0
786.0,55.6724,52.2757,Набережные Челны,10628113125.0
787.0,54.5213,52.8091,Бугульма,5302870928.0
793.0,55.6176,51.8105,Нижнекамск,2782322439.0
794.0,55.8301,52.2514,Тихоново,1098510793.0
797.0,54.6961,55.8354,Дёма,6516589808.0
805.0,48.351,41.8391,Морозовская,1146054186.0
806.0,47.9431,41.9984,Черкасская,1399074249.0
813.0,48.086,41.8568,Кумшалек,1399053799.0
822.0,48.0485,40.1266,Новомихайловская,8955111309.0
823.0,48.0464,40.1907,Зверевская,1399139587.0
826.0,48.0543,40.3678,Божковка,11055502942.0
830.0,48.0199,40.7558,Чапаевка-Ростовская,6836090142.0
832.0,47.8589,40.8212,Краснодонецкая (новая),6836083840.0
833.0,48.0497,39.9413,Гуково,7276158377.0
834.0,51.7276,39.2671,Отрожка,7221063803.0
837.0,51.7368085,39.3485146,Сомово,311296776.0
839.0,51.7637659,39.5229443,Тресвятская,311296781.0
845.0,51.8811,39.591,Графская,9144868182.0
853.0,51.9060765,39.4566374,Бор,317169747.0
856.0,51.907689,39.371468,Рамонь,317169792.0
860.0,51.7397,40.1362,Перелешино,2401816385.0
861.0,51.6468,40.1303,Тулиново,1829855283.0
865.0,51.4822,40.4205,Анна,1219382759.0
866.0,52.0695,39.7181,Усмань,315773663.0
871.0,52.2852,39.7796,Дрязги,2266737896.0
876.0,52.4096205,39.8435907,Прибытково,858703373.0
877.0,52.4943,39.946,Грязи-Воронежские,6439771790.0
878.0,52.4714724,39.913451,474 км,2456183964.0
881.0,52.4741,39.8928,Грязи-Орловские,2456143538.0
882.0,52.5501,39.7368,Казинка,305383144.0
883.0,52.5577,39.6971,Восточная,9131304359.0
884.0,52.5793,39.7019,Чугун-2,846176953.0
885.0,52.6323,39.6655,Чугун-1,305383929.0
887.0,52.6241660977007,39.5682188920817,Липецк,4258862238.0
889.0,52.6278,39.3714,Сенцово,2120592438.0
890.0,52.6479437,39.2299126,Чириково,2120588674.0
892.0,52.6543,39.0616,Патриаршая,9920113771.0
895.0,52.6341,38.9128,Дон,305384534.0
896.0,52.6183,38.8097,215 км,2415684483.0
897.0,52.610538,38.7023949,Извалы,3776329976.0
899.0,52.6061,38.5256,Елец,2724933363.0
900.0,52.606287,38.528695,Елец,2724933363.0
901.0,52.6386,38.421,Телегино,1408801435.0
903.0,52.754,38.3137,Становая,1408797849.0
905.0,52.9492,38.2393,Бабарыкино,1408752857.0
906.0,53.0598,38.1967,Лобаново,9920137591.0
907.0,53.4868818,38.2054031,Дворики,2113602361.0
910.0,53.4586981,38.4247164,Птань,2113602368.0
912.0,53.4207,38.6615,Куликово поле,683302768.0
914.0,53.3437,38.9642,Политово,1408498598.0
915.0,53.2852342,39.0884086,Яхонтово,683302711.0
916.0,53.2585,39.154,Данков,683302653.0
918.0,53.2083,39.4479,Лев Толстой,914308673.0
923.0,53.0133,39.1638,Лебедянь,450544258.0
925.0,52.9223,39.0909,Красивая Меча,1436556829.0
927.0,52.8795,38.9921,Рождество,1437266194.0
929.0,52.8604,38.7717,Лутошкино,1437266191.0
931.0,52.7119824,38.7207838,Талица-Елецкая,3743991128.0
933.0,51.4281,37.9281,Роговое,1686257173.0
938.0,51.5213,38.0313,Горшечное,1424026594.0
942.0,51.6733865,38.1285434,Суковкино,1424026589.0
944.0,51.781,38.1238,Касторная-Новая,1728465937.0
945.0,51.8212,38.0931,Касторная-Курская,2014100867.0
949.0,51.8287888,38.1201489,Касторная-Восточная,305387355.0
953.0,51.6858,38.3298,Нижнедевицк,1424026575.0
957.0,51.6467,38.5839,Курбатово,305421234.0
960.0,51.6561008,38.7867638,Ведуга,3781082206.0
962.0,51.5853,38.7656,Хохольская,8046246236.0
963.0,51.6578,38.8909,Латная,720546858.0
966.0,51.6854,39.0598,Подклетное,720546862.0
968.0,51.6627,39.116,239 км,720551263.0
969.0,51.6697,39.1728,Воронеж-Курский,2864942016.0
971.0,51.68,39.2061,Воронеж 1,6439771792.0
973.0,51.9783,38.1181,Набережное,4807967513.0
977.0,52.1465,38.2865,Тербуны,1472277215.0
980.0,52.3235,38.3627,Долгоруково,3735458795.0
984.0,52.4591797,38.599306,Хитрово,2355255247.0
